from,to,time
84216,84216,"13, 04, 2009"
1060,25,"13, 04, 2009"
1831,59107,"13, 04, 2009"
87033,87033,"13, 04, 2009"
90105,90105,"13, 04, 2009"
68204,56763,"13, 04, 2009"
77284,72478,"13, 04, 2009"
55159,61395,"13, 04, 2009"
88637,88637,"13, 04, 2009"
38971,48963,"13, 04, 2009"
87739,87739,"13, 04, 2009"
2019426,2019426,"13, 04, 2009"
16076,89354,"13, 04, 2009"
48963,48963,"13, 04, 2009"
76337,89354,"13, 04, 2009"
14860,87547,"13, 04, 2009"
50049,62811,"13, 04, 2009"
64960,87547,"13, 04, 2009"
76337,34537,"13, 04, 2009"
3737,73315,"13, 04, 2009"
57428,73315,"13, 04, 2009"
60628,60628,"13, 04, 2009"
73315,73315,"13, 04, 2009"
15168,67405,"13, 04, 2009"
57428,73315,"13, 04, 2009"
53114,65503,"13, 04, 2009"
60628,60628,"13, 04, 2009"
48963,48963,"13, 04, 2009"
54684,67405,"13, 04, 2009"
48933,29595,"13, 04, 2009"
87547,87547,"13, 04, 2009"
85936,17604,"13, 04, 2009"
14860,87547,"13, 04, 2009"
77546,4257,"13, 04, 2009"
54684,67405,"13, 04, 2009"
17604,17604,"13, 04, 2009"
39036,39036,"13, 04, 2009"
9859,62192,"13, 04, 2009"
13028,58186,"13, 04, 2009"
10661,90146,"13, 04, 2009"
19929,77546,"13, 04, 2009"
69952,26143,"13, 04, 2009"
77546,77546,"13, 04, 2009"
44878,44878,"13, 04, 2009"
34509,67405,"13, 04, 2009"
56524,55921,"13, 04, 2009"
55921,55921,"13, 04, 2009"
83871,10019,"13, 04, 2009"
18926,18926,"13, 04, 2009"
36007,39270,"13, 04, 2009"
85906,85906,"13, 04, 2009"
2600,89578,"13, 04, 2009"
34509,70414,"13, 04, 2009"
13627,56692,"13, 04, 2009"
64206,90146,"13, 04, 2009"
48483,48483,"13, 04, 2009"
41981,45603,"13, 04, 2009"
41981,45603,"13, 04, 2009"
89578,89578,"13, 04, 2009"
49018,86411,"13, 04, 2009"
241536,60628,"13, 04, 2009"
8173,86411,"13, 04, 2009"
23283,32090,"13, 04, 2009"
26837,35331,"13, 04, 2009"
39809,32090,"13, 04, 2009"
26837,20951,"13, 04, 2009"
60628,60628,"13, 04, 2009"
52443,81410,"13, 04, 2009"
21909,21909,"13, 04, 2009"
86411,86411,"13, 04, 2009"
13531,22992,"13, 04, 2009"
86015,90231,"13, 04, 2009"
86015,90231,"13, 04, 2009"
81410,81410,"13, 04, 2009"
22992,22992,"13, 04, 2009"
83871,82056,"13, 04, 2009"
10661,90256,"13, 04, 2009"
34211,90255,"13, 04, 2009"
52443,90256,"13, 04, 2009"
10661,90255,"13, 04, 2009"
16417,90256,"13, 04, 2009"
2600,90256,"13, 04, 2009"
60711,90256,"13, 04, 2009"
12730,57698,"13, 04, 2009"
72075,72075,"13, 04, 2009"
76832,54197,"13, 04, 2009"
39809,54197,"13, 04, 2009"
64206,90256,"13, 04, 2009"
64206,90256,"14, 04, 2009"
2982,54197,"14, 04, 2009"
59808,73137,"14, 04, 2009"
6568,20133,"14, 04, 2009"
76832,30198,"14, 04, 2009"
267,86191,"14, 04, 2009"
69882,69882,"14, 04, 2009"
83871,21909,"14, 04, 2009"
16587,90255,"14, 04, 2009"
86191,86191,"14, 04, 2009"
65503,65503,"14, 04, 2009"
1631,86411,"14, 04, 2009"
48553,86411,"14, 04, 2009"
20946,54197,"14, 04, 2009"
811,21909,"14, 04, 2009"
22164,54197,"14, 04, 2009"
21909,21909,"14, 04, 2009"
81462,81462,"14, 04, 2009"
16587,21909,"14, 04, 2009"
9353,86191,"14, 04, 2009"
48503,21909,"14, 04, 2009"
21909,21909,"14, 04, 2009"
88803,35664,"14, 04, 2009"
10661,69882,"14, 04, 2009"
25,25,"14, 04, 2009"
44330,35664,"14, 04, 2009"
25,25,"14, 04, 2009"
55164,21909,"14, 04, 2009"
83307,40120,"14, 04, 2009"
83307,74842,"14, 04, 2009"
74842,74842,"14, 04, 2009"
74842,74842,"14, 04, 2009"
47453,69746,"14, 04, 2009"
76302,76302,"14, 04, 2009"
35364,69746,"14, 04, 2009"
18180,65503,"14, 04, 2009"
88760,69746,"14, 04, 2009"
34942,84786,"14, 04, 2009"
50742,88251,"14, 04, 2009"
72247,69746,"14, 04, 2009"
3043,48486,"14, 04, 2009"
88251,88251,"14, 04, 2009"
16417,89806,"14, 04, 2009"
55747,38230,"14, 04, 2009"
30099,79567,"14, 04, 2009"
44330,82368,"14, 04, 2009"
76682,89941,"14, 04, 2009"
88251,88251,"14, 04, 2009"
48486,48486,"14, 04, 2009"
88251,88251,"14, 04, 2009"
20754,57787,"14, 04, 2009"
40322,66519,"14, 04, 2009"
3474,7581,"14, 04, 2009"
66519,66519,"14, 04, 2009"
14444,26188,"14, 04, 2009"
89806,89806,"14, 04, 2009"
29676,88251,"14, 04, 2009"
26188,26188,"14, 04, 2009"
35203,35203,"14, 04, 2009"
50742,88251,"14, 04, 2009"
57787,57787,"14, 04, 2009"
20133,1443363,"14, 04, 2009"
79109,48729,"14, 04, 2009"
83307,74842,"14, 04, 2009"
81071,81071,"14, 04, 2009"
27414,76105,"14, 04, 2009"
23294,30099,"14, 04, 2009"
10661,69746,"14, 04, 2009"
10661,63051,"14, 04, 2009"
29043,63051,"14, 04, 2009"
40443,76105,"14, 04, 2009"
9951,69746,"14, 04, 2009"
1551,63051,"14, 04, 2009"
20774,22162,"14, 04, 2009"
82793,10019,"14, 04, 2009"
32958,1384652,"14, 04, 2009"
47493,30099,"14, 04, 2009"
811,63743,"14, 04, 2009"
3312,56555,"14, 04, 2009"
14148,63743,"14, 04, 2009"
48729,48729,"14, 04, 2009"
33708,70551,"14, 04, 2009"
56555,56555,"14, 04, 2009"
14444,26188,"14, 04, 2009"
33213,63743,"14, 04, 2009"
8123,63743,"14, 04, 2009"
26160,42024,"14, 04, 2009"
56555,59107,"14, 04, 2009"
85170,51816,"14, 04, 2009"
90279,90279,"14, 04, 2009"
72563,17934,"14, 04, 2009"
1902010,63051,"14, 04, 2009"
28214,1384652,"14, 04, 2009"
29043,63051,"14, 04, 2009"
87979,69882,"14, 04, 2009"
20972,53740,"14, 04, 2009"
20972,53740,"14, 04, 2009"
72247,69746,"14, 04, 2009"
34537,15087,"14, 04, 2009"
8435,52420,"14, 04, 2009"
7643,88975,"14, 04, 2009"
22656,82413,"14, 04, 2009"
31641,3043,"14, 04, 2009"
22656,82413,"14, 04, 2009"
3043,3043,"14, 04, 2009"
23354,73381,"14, 04, 2009"
49956,70702,"14, 04, 2009"
11995,46323,"14, 04, 2009"
17,1154,"14, 04, 2009"
68507,5056,"14, 04, 2009"
20133,20133,"14, 04, 2009"
34796,5056,"14, 04, 2009"
811,30099,"14, 04, 2009"
5056,5056,"14, 04, 2009"
1154,1154,"14, 04, 2009"
74842,74842,"14, 04, 2009"
52502,90154,"14, 04, 2009"
65563,65563,"14, 04, 2009"
26188,26188,"14, 04, 2009"
13338,13338,"14, 04, 2009"
55321,72478,"14, 04, 2009"
33213,63743,"14, 04, 2009"
48387,18926,"14, 04, 2009"
31641,2012356,"14, 04, 2009"
77724,6932,"14, 04, 2009"
62931,62553,"14, 04, 2009"
78259,41093,"14, 04, 2009"
89196,89196,"14, 04, 2009"
58186,58186,"14, 04, 2009"
1875,14006,"14, 04, 2009"
1902010,62721,"14, 04, 2009"
41093,41093,"14, 04, 2009"
41093,41093,"14, 04, 2009"
2598,5775,"14, 04, 2009"
66692,14069,"14, 04, 2009"
4249,66575,"14, 04, 2009"
4249,66575,"14, 04, 2009"
16417,54964,"14, 04, 2009"
57698,57698,"14, 04, 2009"
63136,63136,"14, 04, 2009"
85931,29277,"14, 04, 2009"
13531,4120,"14, 04, 2009"
20402,14006,"14, 04, 2009"
33213,16260,"14, 04, 2009"
13531,2405,"14, 04, 2009"
23512,2405,"14, 04, 2009"
16260,16260,"14, 04, 2009"
2405,2405,"14, 04, 2009"
33708,335036,"14, 04, 2009"
15880,37193,"14, 04, 2009"
13531,2405,"14, 04, 2009"
10019,10019,"14, 04, 2009"
4120,4120,"14, 04, 2009"
10019,10019,"14, 04, 2009"
24396,75863,"14, 04, 2009"
33686,2666,"14, 04, 2009"
16417,90413,"14, 04, 2009"
65868,89211,"14, 04, 2009"
13531,1076409,"14, 04, 2009"
2666,2666,"14, 04, 2009"
23118,14069,"14, 04, 2009"
23118,41093,"14, 04, 2009"
811,90413,"14, 04, 2009"
13687,758,"14, 04, 2009"
82780,82780,"14, 04, 2009"
14069,14069,"14, 04, 2009"
82780,82780,"14, 04, 2009"
15245,84497,"14, 04, 2009"
60777,67445,"14, 04, 2009"
33708,2680,"14, 04, 2009"
84497,84497,"14, 04, 2009"
55724,22459,"14, 04, 2009"
88760,69746,"14, 04, 2009"
2680,2680,"14, 04, 2009"
22459,22459,"14, 04, 2009"
1384652,1384652,"14, 04, 2009"
85863,74894,"14, 04, 2009"
25737,50011,"14, 04, 2009"
19512,2596,"14, 04, 2009"
72563,18529,"14, 04, 2009"
50011,50011,"14, 04, 2009"
21398,73332,"14, 04, 2009"
65358,2680,"14, 04, 2009"
27204,69467,"14, 04, 2009"
34509,6266,"14, 04, 2009"
34509,6266,"14, 04, 2009"
6266,6266,"14, 04, 2009"
59501,62623,"14, 04, 2009"
16316,73332,"14, 04, 2009"
16417,50711,"14, 04, 2009"
50711,50711,"14, 04, 2009"
73332,73332,"14, 04, 2009"
73332,73332,"14, 04, 2009"
1921,38629,"14, 04, 2009"
65732,30674,"14, 04, 2009"
54964,54964,"14, 04, 2009"
90052,84656,"14, 04, 2009"
62970,40414,"14, 04, 2009"
33914,37947,"14, 04, 2009"
79109,48729,"14, 04, 2009"
13816,90450,"14, 04, 2009"
65764,70068,"14, 04, 2009"
30674,30674,"14, 04, 2009"
39809,69467,"14, 04, 2009"
31044,69467,"14, 04, 2009"
19617,89564,"14, 04, 2009"
78374,78374,"14, 04, 2009"
89564,89564,"14, 04, 2009"
31945,6266,"14, 04, 2009"
82305,69467,"14, 04, 2009"
56555,62192,"14, 04, 2009"
62192,62192,"14, 04, 2009"
68204,65387,"14, 04, 2009"
56555,62192,"14, 04, 2009"
4035,73332,"14, 04, 2009"
89564,89564,"14, 04, 2009"
56555,17329,"14, 04, 2009"
55078,17329,"14, 04, 2009"
3244,42069,"14, 04, 2009"
5836,59768,"14, 04, 2009"
44484,81636,"14, 04, 2009"
3244,56940,"14, 04, 2009"
48492,82368,"14, 04, 2009"
615,90312,"14, 04, 2009"
76337,70068,"14, 04, 2009"
73501,73501,"14, 04, 2009"
73501,73501,"14, 04, 2009"
22489,44996,"14, 04, 2009"
89334,90506,"14, 04, 2009"
44996,44996,"14, 04, 2009"
31945,1216,"14, 04, 2009"
56479,2786,"14, 04, 2009"
1216,1216,"14, 04, 2009"
62488,1216,"14, 04, 2009"
46914,1076409,"14, 04, 2009"
5999,6266,"14, 04, 2009"
62488,90506,"14, 04, 2009"
19501,44996,"14, 04, 2009"
20471,18909,"14, 04, 2009"
45249,9328,"14, 04, 2009"
21677,9021,"14, 04, 2009"
20938,1076409,"14, 04, 2009"
23562,71713,"14, 04, 2009"
48387,11104,"14, 04, 2009"
33164,9021,"14, 04, 2009"
77724,71713,"14, 04, 2009"
85931,90552,"14, 04, 2009"
82952,63925,"14, 04, 2009"
63925,63925,"14, 04, 2009"
3146,63925,"14, 04, 2009"
80449,71713,"14, 04, 2009"
34644,34644,"14, 04, 2009"
16744,16744,"14, 04, 2009"
4279,16417,"14, 04, 2009"
63925,63925,"14, 04, 2009"
14902,71713,"14, 04, 2009"
5441,9831,"14, 04, 2009"
90552,90552,"14, 04, 2009"
88070,90552,"14, 04, 2009"
13,63925,"14, 04, 2009"
50049,3834,"14, 04, 2009"
492,4481,"14, 04, 2009"
21677,676066,"14, 04, 2009"
90552,90552,"14, 04, 2009"
19868,414441,"14, 04, 2009"
67392,59730,"14, 04, 2009"
15625,68416,"14, 04, 2009"
12855,90146,"14, 04, 2009"
56440,89354,"14, 04, 2009"
29336,89075,"14, 04, 2009"
90571,90571,"14, 04, 2009"
53970,53970,"14, 04, 2009"
67392,57884,"14, 04, 2009"
40347,57884,"14, 04, 2009"
89075,89075,"14, 04, 2009"
89914,89914,"14, 04, 2009"
17934,17934,"14, 04, 2009"
23562,65706,"14, 04, 2009"
3497,3497,"14, 04, 2009"
11698,65313,"14, 04, 2009"
23562,68457,"14, 04, 2009"
68457,68457,"14, 04, 2009"
47161,89075,"14, 04, 2009"
17516,1076409,"14, 04, 2009"
45433,1212,"14, 04, 2009"
52458,90543,"14, 04, 2009"
57428,38038,"14, 04, 2009"
1212,1212,"14, 04, 2009"
1076409,1076409,"14, 04, 2009"
59768,59768,"14, 04, 2009"
11995,3834,"14, 04, 2009"
1212,1212,"14, 04, 2009"
75546,75546,"14, 04, 2009"
22992,30292,"14, 04, 2009"
23562,65706,"14, 04, 2009"
87547,87547,"14, 04, 2009"
71975,12918,"14, 04, 2009"
81410,51649,"14, 04, 2009"
89075,89075,"14, 04, 2009"
79076,79076,"14, 04, 2009"
79076,57698,"14, 04, 2009"
22164,73073,"14, 04, 2009"
33708,17635,"14, 04, 2009"
17635,17635,"14, 04, 2009"
17635,17635,"14, 04, 2009"
79076,20010,"14, 04, 2009"
33708,17635,"14, 04, 2009"
29,58521,"14, 04, 2009"
2119,58521,"14, 04, 2009"
70847,90644,"14, 04, 2009"
14860,90644,"14, 04, 2009"
81456,44084,"14, 04, 2009"
4549416,75658,"14, 04, 2009"
58521,58521,"14, 04, 2009"
66692,7714,"14, 04, 2009"
26837,9382,"14, 04, 2009"
75658,75658,"14, 04, 2009"
26837,77712,"14, 04, 2009"
2548,65393,"14, 04, 2009"
53718,64949,"14, 04, 2009"
26837,56472,"14, 04, 2009"
88558,90614,"14, 04, 2009"
18061,83847,"14, 04, 2009"
18192,63738,"14, 04, 2009"
83847,83847,"14, 04, 2009"
42069,42069,"14, 04, 2009"
65393,65393,"14, 04, 2009"
15614,78642,"14, 04, 2009"
23354,86751,"14, 04, 2009"
5889,45471,"14, 04, 2009"
21734,90614,"14, 04, 2009"
44084,44084,"14, 04, 2009"
63652,419,"14, 04, 2009"
2859,62721,"14, 04, 2009"
21632,46994,"14, 04, 2009"
86751,86751,"14, 04, 2009"
73073,73073,"14, 04, 2009"
419,419,"14, 04, 2009"
16417,16417,"14, 04, 2009"
18192,67441,"14, 04, 2009"
23354,86751,"14, 04, 2009"
4249,79461,"14, 04, 2009"
45471,45471,"14, 04, 2009"
23354,86751,"14, 04, 2009"
52738,48648,"14, 04, 2009"
57776,90614,"14, 04, 2009"
16417,80363,"14, 04, 2009"
75658,18660,"14, 04, 2009"
455874,88918,"14, 04, 2009"
67441,67441,"14, 04, 2009"
12502,71399,"14, 04, 2009"
18660,18660,"14, 04, 2009"
71399,71399,"14, 04, 2009"
29043,27088,"14, 04, 2009"
88070,71399,"14, 04, 2009"
48387,38038,"14, 04, 2009"
63751,90614,"14, 04, 2009"
8123,79631,"14, 04, 2009"
53718,84592,"14, 04, 2009"
38971,78297,"14, 04, 2009"
53718,79631,"14, 04, 2009"
14326,79631,"14, 04, 2009"
66475,48486,"14, 04, 2009"
48486,48486,"14, 04, 2009"
69749,53970,"14, 04, 2009"
48648,48648,"14, 04, 2009"
45153,82801,"14, 04, 2009"
157,90680,"14, 04, 2009"
79461,79461,"14, 04, 2009"
2592,2592,"14, 04, 2009"
74276,74276,"14, 04, 2009"
29639,76105,"14, 04, 2009"
1715673,2596,"14, 04, 2009"
2596,2596,"14, 04, 2009"
21679,4019,"14, 04, 2009"
18180,76121,"14, 04, 2009"
2974,63743,"14, 04, 2009"
13531,84592,"14, 04, 2009"
5056,11980,"14, 04, 2009"
16417,78297,"14, 04, 2009"
62923,58251,"14, 04, 2009"
447,447,"14, 04, 2009"
79294,2596,"14, 04, 2009"
23354,72234,"14, 04, 2009"
40906,283739,"14, 04, 2009"
54684,5056,"14, 04, 2009"
46011,46011,"14, 04, 2009"
7714,7714,"14, 04, 2009"
62830,86404,"14, 04, 2009"
10661,39623,"14, 04, 2009"
36590,36590,"14, 04, 2009"
20310,89806,"14, 04, 2009"
20310,69746,"14, 04, 2009"
12502,6399,"14, 04, 2009"
74977,70826,"14, 04, 2009"
5056,5056,"15, 04, 2009"
70826,70826,"15, 04, 2009"
8954,2596,"15, 04, 2009"
11333,6399,"15, 04, 2009"
6358,7714,"15, 04, 2009"
1688440,79631,"15, 04, 2009"
13376,77741,"15, 04, 2009"
13531,84546,"15, 04, 2009"
1254,4019,"15, 04, 2009"
39623,39623,"15, 04, 2009"
83075,86404,"15, 04, 2009"
80363,80363,"15, 04, 2009"
30018,84546,"15, 04, 2009"
283739,283739,"15, 04, 2009"
13531,84546,"15, 04, 2009"
41665,1023413,"15, 04, 2009"
9951,69746,"15, 04, 2009"
36590,36590,"15, 04, 2009"
12502,6399,"15, 04, 2009"
86404,86404,"15, 04, 2009"
44434,88637,"15, 04, 2009"
13376,93,"15, 04, 2009"
3978,54964,"15, 04, 2009"
62055,28327,"15, 04, 2009"
88760,39623,"15, 04, 2009"
88760,39623,"15, 04, 2009"
82187,85466,"15, 04, 2009"
82801,82801,"15, 04, 2009"
10661,2908,"15, 04, 2009"
4249,79461,"15, 04, 2009"
4249,79461,"15, 04, 2009"
2197,2197,"15, 04, 2009"
2908,2908,"15, 04, 2009"
55747,62065,"15, 04, 2009"
10661,39623,"15, 04, 2009"
1023413,1023413,"15, 04, 2009"
3032,5544,"15, 04, 2009"
90718,90718,"15, 04, 2009"
83664,90657,"15, 04, 2009"
24181,49564,"15, 04, 2009"
15614,16417,"15, 04, 2009"
66692,15075,"15, 04, 2009"
66475,32372,"15, 04, 2009"
9382,9382,"15, 04, 2009"
255,7893,"15, 04, 2009"
52443,49564,"15, 04, 2009"
4035,58314,"15, 04, 2009"
32914,7893,"15, 04, 2009"
811,70826,"15, 04, 2009"
10492,70826,"15, 04, 2009"
18797,90745,"15, 04, 2009"
62553,62553,"15, 04, 2009"
53718,88847,"15, 04, 2009"
90745,90745,"15, 04, 2009"
74977,90745,"15, 04, 2009"
90745,90745,"15, 04, 2009"
84809,84809,"15, 04, 2009"
22656,80633,"15, 04, 2009"
4257,4257,"15, 04, 2009"
76832,80633,"15, 04, 2009"
10661,77939,"15, 04, 2009"
2974,77939,"15, 04, 2009"
4249,6095,"15, 04, 2009"
36175,51649,"15, 04, 2009"
15075,15075,"15, 04, 2009"
238948,63243,"15, 04, 2009"
11649,59941,"15, 04, 2009"
10661,77939,"15, 04, 2009"
10661,77939,"15, 04, 2009"
48387,5296,"15, 04, 2009"
49564,49564,"15, 04, 2009"
77254,698,"15, 04, 2009"
44434,62544,"15, 04, 2009"
48387,5296,"15, 04, 2009"
33991,65442,"15, 04, 2009"
18771,31039,"15, 04, 2009"
44434,14069,"15, 04, 2009"
66692,46011,"15, 04, 2009"
80633,70398,"15, 04, 2009"
6144,90756,"15, 04, 2009"
46011,46011,"15, 04, 2009"
31039,31039,"15, 04, 2009"
698,698,"15, 04, 2009"
27088,27088,"15, 04, 2009"
5696608,55151,"15, 04, 2009"
76393,72565,"15, 04, 2009"
18771,68416,"15, 04, 2009"
40650,40650,"15, 04, 2009"
82187,40650,"15, 04, 2009"
29043,40650,"15, 04, 2009"
79749,90312,"15, 04, 2009"
40650,40650,"15, 04, 2009"
1228,13338,"15, 04, 2009"
66801,90042,"15, 04, 2009"
80633,32173,"15, 04, 2009"
32173,32173,"15, 04, 2009"
59941,59941,"15, 04, 2009"
16592,3155,"15, 04, 2009"
80633,32173,"15, 04, 2009"
69111,17312,"15, 04, 2009"
13376,36590,"15, 04, 2009"
37843,52420,"15, 04, 2009"
14069,14069,"15, 04, 2009"
41665,46011,"15, 04, 2009"
58562,40650,"15, 04, 2009"
77254,698,"15, 04, 2009"
40650,40650,"15, 04, 2009"
698,698,"15, 04, 2009"
46011,46011,"15, 04, 2009"
41665,46011,"15, 04, 2009"
75167,46011,"15, 04, 2009"
90042,90042,"15, 04, 2009"
5542,7475,"15, 04, 2009"
64334,64334,"15, 04, 2009"
46011,46011,"15, 04, 2009"
66475,3018,"15, 04, 2009"
3155,3155,"15, 04, 2009"
79294,34537,"15, 04, 2009"
5696608,18941,"15, 04, 2009"
3018,3018,"15, 04, 2009"
34211,18265,"15, 04, 2009"
3508,3508,"15, 04, 2009"
13565,3508,"15, 04, 2009"
46011,46011,"15, 04, 2009"
40868,40868,"15, 04, 2009"
14148,3508,"15, 04, 2009"
41981,18265,"15, 04, 2009"
40347,20178,"15, 04, 2009"
44743,18225,"15, 04, 2009"
18515,18265,"15, 04, 2009"
37796,37796,"15, 04, 2009"
1759,63743,"15, 04, 2009"
24064,16487,"15, 04, 2009"
55164,13227,"15, 04, 2009"
1831,89054,"15, 04, 2009"
89054,89054,"15, 04, 2009"
18265,18265,"15, 04, 2009"
1831,89054,"15, 04, 2009"
33164,20467,"15, 04, 2009"
4086,25700,"15, 04, 2009"
1831,89054,"15, 04, 2009"
7565,13227,"15, 04, 2009"
73070,65385,"15, 04, 2009"
25700,25700,"15, 04, 2009"
55164,13227,"15, 04, 2009"
44743,90146,"15, 04, 2009"
15018,43756,"15, 04, 2009"
90297,14894,"15, 04, 2009"
6144,90756,"15, 04, 2009"
20467,20467,"15, 04, 2009"
13227,13227,"15, 04, 2009"
91385,91385,"15, 04, 2009"
39809,83528,"15, 04, 2009"
22818,33371,"15, 04, 2009"
41153,58808,"15, 04, 2009"
8840,90317,"15, 04, 2009"
60593,68869,"15, 04, 2009"
30568,8167,"15, 04, 2009"
46011,46011,"15, 04, 2009"
41063,41063,"15, 04, 2009"
34218,20498,"15, 04, 2009"
48387,40868,"15, 04, 2009"
48387,40868,"15, 04, 2009"
5801,20498,"15, 04, 2009"
40868,40868,"15, 04, 2009"
18941,18941,"15, 04, 2009"
43222,38947,"15, 04, 2009"
22828,56555,"15, 04, 2009"
12597,12597,"15, 04, 2009"
47222,47222,"15, 04, 2009"
60733,380,"15, 04, 2009"
33164,20467,"15, 04, 2009"
50890,8167,"15, 04, 2009"
37474,37474,"15, 04, 2009"
36590,36590,"15, 04, 2009"
86829,86829,"15, 04, 2009"
20122,90834,"15, 04, 2009"
68869,68869,"15, 04, 2009"
23574,34853,"15, 04, 2009"
24064,83528,"15, 04, 2009"
55124,55124,"15, 04, 2009"
62931,77449,"15, 04, 2009"
8220,47064,"15, 04, 2009"
33212,91385,"15, 04, 2009"
47064,47064,"15, 04, 2009"
8220,47064,"15, 04, 2009"
47064,47064,"15, 04, 2009"
371940,82780,"15, 04, 2009"
77507,78182,"15, 04, 2009"
12048,47529,"15, 04, 2009"
91385,91385,"15, 04, 2009"
76337,11574,"15, 04, 2009"
11574,11574,"15, 04, 2009"
87739,38947,"15, 04, 2009"
89594,48486,"15, 04, 2009"
4337,51816,"15, 04, 2009"
67,51816,"15, 04, 2009"
29,51816,"15, 04, 2009"
51816,51816,"15, 04, 2009"
2859,86015,"15, 04, 2009"
51816,51816,"15, 04, 2009"
67132,51816,"15, 04, 2009"
2859,20178,"15, 04, 2009"
2859,31671,"15, 04, 2009"
51816,51816,"15, 04, 2009"
30946,76302,"15, 04, 2009"
90644,90644,"15, 04, 2009"
3474,39998,"15, 04, 2009"
4035,51816,"15, 04, 2009"
51816,51816,"15, 04, 2009"
2596,51816,"15, 04, 2009"
89521,89521,"15, 04, 2009"
78793,78793,"15, 04, 2009"
493,29823,"15, 04, 2009"
31671,31671,"15, 04, 2009"
12502,28413,"15, 04, 2009"
40347,51816,"15, 04, 2009"
56555,56555,"15, 04, 2009"
38971,3683,"15, 04, 2009"
28413,28413,"15, 04, 2009"
1748769,56092,"15, 04, 2009"
16417,31671,"15, 04, 2009"
56092,56092,"15, 04, 2009"
31671,31671,"15, 04, 2009"
31671,31671,"15, 04, 2009"
44765,78182,"15, 04, 2009"
10593,48957,"15, 04, 2009"
10593,48957,"15, 04, 2009"
29823,29823,"15, 04, 2009"
20860,31671,"15, 04, 2009"
37843,74984,"15, 04, 2009"
44743,28413,"15, 04, 2009"
28413,28413,"15, 04, 2009"
86015,86015,"15, 04, 2009"
79294,34537,"15, 04, 2009"
18936,91385,"15, 04, 2009"
86473,39413,"15, 04, 2009"
18936,91385,"15, 04, 2009"
16417,81520,"15, 04, 2009"
3683,3683,"15, 04, 2009"
44084,74980,"15, 04, 2009"
1030,39413,"15, 04, 2009"
16417,59608,"15, 04, 2009"
72247,283739,"15, 04, 2009"
74243,20,"15, 04, 2009"
64434,32021,"15, 04, 2009"
44084,74980,"15, 04, 2009"
44084,74980,"15, 04, 2009"
74980,74980,"15, 04, 2009"
44084,74980,"15, 04, 2009"
12502,2086,"15, 04, 2009"
31671,31671,"15, 04, 2009"
57698,8513,"15, 04, 2009"
9530,16417,"15, 04, 2009"
32943,77546,"15, 04, 2009"
34819,4835,"15, 04, 2009"
85931,90903,"15, 04, 2009"
70614,70614,"15, 04, 2009"
90903,90903,"15, 04, 2009"
27211,27211,"15, 04, 2009"
77546,77546,"15, 04, 2009"
31945,48571,"15, 04, 2009"
2600,62255,"15, 04, 2009"
50742,48571,"15, 04, 2009"
48571,48571,"15, 04, 2009"
48571,48571,"15, 04, 2009"
31641,56092,"15, 04, 2009"
31641,56092,"15, 04, 2009"
28832,88470,"15, 04, 2009"
67606,82780,"15, 04, 2009"
255,8167,"15, 04, 2009"
64331,62255,"15, 04, 2009"
6062,74994,"15, 04, 2009"
6062,74994,"15, 04, 2009"
67075,48571,"15, 04, 2009"
14065,57757,"15, 04, 2009"
38038,38038,"15, 04, 2009"
38038,38038,"15, 04, 2009"
757,1376,"15, 04, 2009"
40744,88470,"15, 04, 2009"
74994,74994,"15, 04, 2009"
14860,74994,"15, 04, 2009"
53718,54760,"15, 04, 2009"
38206,54760,"15, 04, 2009"
9345,81926,"15, 04, 2009"
70683,54760,"15, 04, 2009"
66692,74994,"15, 04, 2009"
66475,81926,"15, 04, 2009"
31641,47738,"15, 04, 2009"
14860,88470,"15, 04, 2009"
73637,73637,"15, 04, 2009"
79980,79980,"15, 04, 2009"
31671,47738,"15, 04, 2009"
47738,47738,"15, 04, 2009"
40342,20979,"15, 04, 2009"
14454,48421,"15, 04, 2009"
11614,20979,"15, 04, 2009"
14454,15541,"15, 04, 2009"
20467,20467,"15, 04, 2009"
88637,25749,"15, 04, 2009"
9167,20178,"15, 04, 2009"
37558,81926,"15, 04, 2009"
62931,89035,"15, 04, 2009"
16076,309834,"15, 04, 2009"
309834,309834,"15, 04, 2009"
66475,42050,"15, 04, 2009"
1116,309834,"15, 04, 2009"
86751,9922,"15, 04, 2009"
25749,25749,"15, 04, 2009"
20010,20010,"15, 04, 2009"
63243,63243,"15, 04, 2009"
89075,34537,"15, 04, 2009"
15541,15541,"15, 04, 2009"
89075,81057,"15, 04, 2009"
60188,10019,"15, 04, 2009"
53718,58553,"15, 04, 2009"
86751,86751,"15, 04, 2009"
58553,58553,"15, 04, 2009"
53718,90990,"15, 04, 2009"
2605840,85603,"15, 04, 2009"
2902,21133,"15, 04, 2009"
283739,283739,"15, 04, 2009"
53718,10019,"15, 04, 2009"
50049,21133,"15, 04, 2009"
270,87739,"15, 04, 2009"
57510,85603,"15, 04, 2009"
7498,84206,"15, 04, 2009"
15416,25700,"15, 04, 2009"
283739,90231,"15, 04, 2009"
30568,8167,"15, 04, 2009"
15416,3508,"15, 04, 2009"
615,83538,"15, 04, 2009"
40322,25418,"15, 04, 2009"
63751,42636,"15, 04, 2009"
90297,90231,"15, 04, 2009"
31345,83265,"15, 04, 2009"
17867,69746,"15, 04, 2009"
69746,69746,"15, 04, 2009"
40322,88249,"15, 04, 2009"
44984,44984,"15, 04, 2009"
81520,81520,"15, 04, 2009"
